date,client,transportation_mode,revenue_usd,cost_usd,profit_usd,margin_percent
2022-01-27 14:40:52,Dynamic Networks,ROAD,4262.47,3916.55,248.63,5.83
2022-01-28 14:11:44,Infinite Capital,ROAD,1794.8,1391.6,186.69,10.4
2022-01-18 13:48:02,Sharp Management,ROAD,1362.1,1333.49,120.62,8.86
2022-01-28 12:18:47,Sharp Management,ROAD,1314.23,1396.58,110.21,8.39
2022-01-04 02:13:01,Sharp Management,ROAD,1415.97,1267.25,275.79,19.48
2022-01-05 11:57:53,Sharp Management,ROAD,1463.21,1181.23,209.87,14.34
2022-01-14 00:07:10,Ambitious Trust,ROAD,7459.07,7017.43,251.16,3.37
2022-01-06 21:53:41,Ambitious Trust,ROAD,6620.69,6179.03,215.09,3.25
2022-01-25 05:06:52,Eternal Development,ROAD,4973.39,3940.12,303.91,6.11
2022-01-09 21:08:29,Dynamic Networks,ROAD,3276.94,3456.61,119.49,3.65
2022-01-03 07:16:28,Premier Resources,ROAD,4813.77,4382.19,694.35,14.42
2022-01-11 21:13:59,Premier Resources,ROAD,5531.85,3967.37,854.2,15.44
2022-01-01 23:04:20,Sharp Management,ROAD,1446.17,1134.33,225.1,15.57
2022-01-22 20:11:09,Sharp Management,ROAD,1580.84,1136.14,230.14,14.56
2022-01-13 10:10:37,Infinite Corporation,ROAD,5320.66,4982.54,338.03,6.35
2022-01-06 23:10:17,Creative Edge,ROAD,5303.94,5842.72,244.06,4.6
2022-01-13 16:20:23,Elite Management,SEA,8749.36,7433.65,500.76,5.72
2022-01-09 20:14:30,Ambitious Connections,SEA,8449.31,6651.69,783.02,9.27
2022-01-01 23:11:09,Elite Systems,RAIL,1411.57,1253.09,389.77,27.61
2022-01-21 14:15:13,Pioneer Initiative,ROAD,2916.46,2670.4,57.18,1.96
2022-01-24 09:56:26,Noble Corporation,ROAD,2664.45,2564.41,238.68,8.96
2022-01-09 08:39:38,Next Foundation,RAIL,1416.96,1076.9,133.72,9.44
2022-01-09 15:21:38,Noble Corporation,ROAD,2706.25,2490.22,235.56,8.7
2022-01-20 07:16:33,Pioneer Partners,ROAD,1399.15,1273.79,113.01,8.08
2022-01-20 03:46:09,Premier Industries,SEA,7501.47,7322.15,1128.73,15.05
2022-01-06 16:06:20,Brilliant Initiative,ROAD,3284.05,3206.73,243.68,7.42
2022-01-14 01:42:13,Dynamic Services,ROAD,3061.28,2676.13,52.68,1.72
2022-01-10 22:56:43,Dynamic Services,ROAD,2948.76,3189.47,55.65,1.89
2022-01-14 14:24:14,United Partners,RAIL,1568.67,1492.01,137.92,8.79
2022-01-11 08:12:31,Core Holdings,ROAD,1754.03,1772.65,1.23,0.07
2022-01-08 14:35:55,Next Foundation,RAIL,1425.23,1555.38,118.97,8.35
2022-01-21 14:06:47,Sharp Global,ROAD,608.12,618.48,51.57,8.48
2022-01-05 12:47:28,Pro Corporation,SEA,1696.17,1426.32,214.08,12.62
2022-01-26 12:56:57,Dynamic Networks,ROAD,4087.38,3371.49,535.11,13.09
2022-01-27 15:21:49,Dynamic Networks,ROAD,3600.36,3645.24,51.6,1.43
2022-01-04 06:16:14,Dynamic Networks,ROAD,3889.17,3461.94,107.35,2.76
2022-01-02 09:46:59,Dynamic Networks,ROAD,3977.0,3763.03,104.84,2.64
2022-01-06 19:32:44,Dynamic Networks,ROAD,3954.22,3590.14,246.09,6.22
2022-01-12 19:23:29,Dynamic Networks,ROAD,4073.71,3425.81,114.82,2.82
2022-01-17 01:25:14,Eternal Systems,ROAD,2698.11,2315.47,63.22,2.34
2022-01-07 22:13:34,Core Industries,ROAD,6363.46,6282.61,118.06,1.86
2022-01-07 05:20:44,Advanced Dynamics,ROAD,3505.16,3043.35,118.2,3.37
2022-01-08 18:31:51,Advanced Dynamics,ROAD,3197.75,3263.63,62.38,1.95
2022-01-12 08:43:21,Visionary Group,ROAD,2364.44,2384.77,154.36,6.53
2022-01-05 12:30:10,Global Holdings,ROAD,3033.29,2378.2,257.24,8.48
2022-01-08 07:35:40,Pioneer Group,RAIL,2312.82,1916.01,236.09,10.21
2022-01-28 03:43:44,Premier Resources,ROAD,6452.54,5508.39,227.96,3.53
2022-01-26 03:51:19,Sharp Global,ROAD,651.98,583.45,61.37,9.41
2022-01-09 06:26:37,Brilliant Innovation,RAIL,824.01,677.59,104.84,12.72
2022-01-21 19:41:24,Brilliant Innovation,RAIL,915.81,778.42,115.56,12.62
2022-01-04 05:21:11,Premier Resources,ROAD,4921.96,4316.41,487.89,9.91
2022-01-27 06:15:14,Ambitious Framework,AIR,1841.51,1853.25,208.82,11.34
2022-01-25 18:57:44,Modern Capital,ROAD,3655.33,424.34,3083.06,84.34
2022-01-19 08:35:52,Innovative Technologies,ROAD,2490.55,2070.01,117.9,4.73
2022-01-10 13:35:45,Visionary Group,ROAD,2273.09,1968.17,234.49,10.32
2022-01-08 13:52:30,Visionary Group,ROAD,2296.97,2189.13,191.83,8.35
2022-01-26 13:47:46,Visionary Group,ROAD,2458.51,2271.72,241.23,9.81
2022-01-17 08:39:44,Visionary Group,ROAD,2440.39,1949.76,176.59,7.24
2022-01-04 05:17:45,United Associates,ROAD,1774.94,1590.98,61.64,3.47
2022-01-22 23:47:40,United Associates,ROAD,2307.25,2357.95,103.93,4.5
2022-01-24 00:15:26,United Associates,ROAD,2352.99,2287.28,209.74,8.91
2022-01-03 04:51:58,United Associates,ROAD,2244.87,2066.5,176.92,7.88
2022-01-23 10:58:48,United Associates,ROAD,2254.28,2191.85,158.96,7.05
2022-01-22 23:25:30,Visionary Group,ROAD,4501.26,4260.58,312.3,6.94
2022-01-23 06:53:43,Active Networks,ROAD,2686.52,2192.06,234.06,8.71
2022-01-16 23:28:05,Core Holdings,ROAD,1807.24,1707.26,0.89,0.05
2022-01-28 05:13:14,Modern Capital,RAIL,1318.34,1365.5,148.07,11.23
2022-01-02 10:13:32,Core Industries,ROAD,5477.29,4459.31,441.33,8.06
2022-01-26 08:12:18,Sharp Services,ROAD,5251.49,4976.37,525.24,10.0
2022-01-18 15:18:06,Modern Capital,RAIL,1612.45,1654.82,112.47,6.98
2022-01-02 23:54:57,Master Operations,ROAD,2656.53,2731.84,109.08,4.11
2022-01-03 04:13:34,Integrated Designs,SEA,829.95,614.16,237.77,28.65
2022-01-10 10:36:10,Active Networks,ROAD,1923.77,1819.33,117.77,6.12
2022-01-15 19:42:01,Key Associates,SEA,3104.57,2432.76,206.91,6.66
2022-01-12 02:13:14,Alfa Resources,SEA,10613.97,8797.12,1381.23,13.01
2022-01-04 14:23:43,Dynamic Framework,SEA,1286.32,1000.16,192.32,14.95
2022-01-08 00:41:51,Brilliant Capital,SEA,3685.66,2664.52,1038.29,28.17
2022-01-01 11:59:56,Infinite Capital,ROAD,1618.39,1361.67,430.34,26.59
2022-01-21 20:25:02,Pioneer Systems,ROAD,3022.67,2981.69,386.23,12.78
2022-01-05 17:09:03,Pioneer Systems,ROAD,3492.79,2764.49,365.7,10.47
2022-01-23 23:33:54,Sharp Global,ROAD,941.69,967.16,23.94,2.54
2022-01-03 03:50:52,Ambitious Connections,SEA,7530.4,7566.38,534.52,7.1
2022-01-28 18:01:06,True Capital,SEA,10035.71,9193.34,696.01,6.94
2022-01-15 23:42:40,Sharp Services,ROAD,4531.57,4232.03,235.49,5.2
2022-01-15 21:37:12,Pioneer Group,RAIL,2285.94,1778.53,341.57,14.94
2022-01-16 04:06:28,Ultimate Networks,ROAD,3254.13,3190.76,52.78,1.62
2022-01-08 09:27:23,Active Consulting,RAIL,1779.69,1815.03,78.32,4.4
2022-01-01 03:48:39,Ambitious Trust,ROAD,5017.88,4691.42,462.25,9.21
2022-01-20 05:44:33,Ambitious Trust,ROAD,5274.74,4642.63,106.87,2.03
2022-01-06 17:38:32,Leading Strategy,SEA,765.33,669.4,82.92,10.83
2022-01-28 19:24:24,Smart Services,AIR,11778.83,8914.97,1382.8,11.74
2022-01-07 08:55:37,Advanced Designs,SEA,216.93,160.04,62.64,28.88
2022-01-17 22:25:37,Visionary Group,ROAD,756.41,712.69,97.04,12.83
2022-01-16 19:09:28,Visionary Group,ROAD,757.57,634.61,100.91,13.32
2022-01-23 02:13:40,Dynamic Networks,ROAD,3324.33,2504.49,400.64,12.05
2022-01-28 09:09:26,Dynamic Networks,ROAD,3026.74,2989.56,312.78,10.33
2022-01-02 15:33:30,Brilliant Innovation,RAIL,1253.04,1288.11,21.29,1.7
2022-01-19 21:27:05,Dynamic Networks,ROAD,3095.47,3317.81,178.44,5.76
2022-01-21 22:00:24,Brilliant Innovation,RAIL,1364.19,1187.45,20.97,1.54
2022-01-24 05:34:59,Dynamic Industries,RAIL,871.98,674.88,79.42,9.11
2022-01-15 23:08:46,Modern Edge,ROAD,2483.72,1984.1,115.73,4.66
2022-01-06 17:31:50,Advanced Management,SEA,7526.5,6366.68,711.42,9.45
2022-01-28 23:44:37,Leading Foundation,RAIL,473.22,437.52,23.07,4.88
2022-01-28 08:48:41,Strategic Global,RAIL,409.35,445.29,9.95,2.43
2022-01-21 11:34:41,Infinite Capital,ROAD,1751.92,1598.92,223.65,12.77
2022-01-20 09:01:38,Core Holdings,ROAD,1671.43,1463.05,33.04,1.98
2022-01-10 01:32:38,Next Systems,RAIL,1503.48,1688.54,0.0,0.0
2022-01-15 19:08:04,Dynamic Zone,ROAD,3293.98,3467.22,164.93,5.01
2022-01-27 01:46:37,Pro Corporation,RAIL,2160.01,2167.95,122.35,5.66
2022-01-01 03:07:32,Pro Corporation,RAIL,1983.4,2037.58,138.52,6.98
2022-01-27 13:42:55,Next Foundation,RAIL,1610.43,1439.88,117.41,7.29
2022-01-03 13:12:04,Next Foundation,RAIL,1651.85,1355.51,136.35,8.25
2022-01-10 06:49:18,Ultimate Holdings,RAIL,1623.16,1275.5,289.53,17.84
2022-01-12 11:01:45,Sharp Management,ROAD,1414.39,1451.2,119.31,8.44
2022-01-16 08:59:20,Core Zone,RAIL,2719.34,2188.22,314.81,11.58
2022-01-01 10:43:43,Sharp Management,ROAD,1512.96,1253.1,226.67,14.98
2022-01-27 22:49:14,Infinite Networks,SEA,4271.69,4482.9,106.74,2.5
2022-01-19 03:45:44,Brilliant Enterprises,SEA,6127.46,5776.08,188.14,3.07
2022-01-11 17:29:40,Elite Technologies,ROAD,2821.06,2300.62,358.34,12.7
2022-01-14 08:41:54,Elite Technologies,ROAD,2450.95,2473.85,351.54,14.34
2022-01-01 09:48:11,Core Holdings,ROAD,1786.15,1506.55,55.89,3.13
2022-01-12 07:45:13,Alfa Trust,ROAD,1399.14,1430.81,59.36,4.24
2022-01-21 08:11:23,Brilliant Capital,SEA,8541.87,8299.45,972.77,11.39
2022-01-13 00:22:15,Dynamic Zone,ROAD,3697.73,3409.19,107.71,2.91
2022-01-05 19:41:55,Innovative Strategy,ROAD,458.23,476.85,44.92,9.8
2022-01-03 18:25:01,Infinite Capital,ROAD,1706.86,1562.67,111.52,6.53
2022-01-19 14:54:27,Ambitious Connections,ROAD,1740.48,1532.81,212.51,12.21
2022-01-06 11:13:42,Sharp Management,ROAD,1425.28,1361.07,256.48,18.0
2022-01-25 21:25:37,Infinite Capital,ROAD,550.49,491.04,101.84,18.5
2022-01-24 10:27:36,Core Holdings,ROAD,1464.51,1655.98,-52.52,-3.59
2022-01-15 07:34:33,Elite Technologies,ROAD,1480.89,1498.64,75.42,5.09
2022-01-12 12:07:03,Eternal Corporation,ROAD,1862.05,472.24,1358.16,72.94
2022-01-03 14:15:10,Modern Group,RAIL,1064.17,1146.35,87.1,8.18
2022-01-09 22:57:19,Modern Group,RAIL,1200.26,951.66,74.68,6.22
2022-01-03 12:23:07,Brilliant Innovation,RAIL,1427.98,1140.78,85.59,5.99
2022-01-28 15:06:51,Global Networks,RAIL,2152.57,2000.18,60.26,2.8
2022-01-15 06:00:12,Brilliant Innovation,RAIL,1583.16,1198.2,272.89,17.24
2022-01-21 03:37:17,United Associates,ROAD,1844.03,1665.93,58.93,3.2
2022-01-21 13:30:57,Modern Partners,ROAD,1142.54,1090.01,115.26,10.09
2022-01-08 10:53:16,United Associates,ROAD,1755.07,1710.08,56.21,3.2
2022-01-07 19:22:35,Infinite Technologies,SEA,6478.47,6214.42,1191.79,18.4
2022-01-12 11:15:30,Noble Associates,SEA,15337.11,15847.89,607.37,3.96
2022-01-01 19:52:55,United Solutions,RAIL,1963.49,1749.03,134.86,6.87
2022-01-20 09:42:00,Ambitious Trust,ROAD,5491.18,4589.68,544.43,9.91
2022-01-19 21:34:10,Brilliant Initiative,ROAD,3006.4,2651.57,365.38,12.15
2022-01-20 12:42:20,Ultimate Networks,ROAD,3911.99,3577.91,235.31,6.02
2022-01-19 18:42:30,Innovative Strategy,ROAD,440.0,430.13,49.53,11.26
2022-01-24 14:46:15,Sharp Management,ROAD,1587.85,1292.65,238.54,15.02
2022-01-19 20:12:02,United Associates,ROAD,2547.81,2399.12,51.23,2.01
2022-01-14 09:47:59,Pioneer Partners,ROAD,1481.02,1607.42,114.64,7.74
2022-01-17 08:48:06,Visionary Tech,SEA,10926.51,11225.71,797.27,7.3
2022-01-11 14:57:57,Visionary Tech,SEA,13571.57,15003.72,482.95,3.56
2022-01-06 05:33:56,United Associates,ROAD,2267.58,2389.18,0.0,0.0
2022-01-05 03:34:12,Modern Capital,SEA,3523.52,3161.65,-109.24,-3.1
2022-01-06 15:59:54,Bright Designs,ROAD,246.47,205.08,24.3,9.86
2022-01-26 20:31:14,Modern Group,RAIL,1481.51,1117.0,405.98,27.4
2022-01-08 03:25:19,United Associates,ROAD,2491.24,2311.92,109.68,4.4
2022-01-01 06:12:29,Creative Capital,SEA,8333.89,8237.33,451.16,5.41
2022-01-06 06:39:49,Dynamic Industries,RAIL,811.54,694.98,23.75,2.93
2022-01-03 23:29:09,Sharp Services,ROAD,4915.44,5109.38,100.08,2.04
2022-01-21 21:51:51,Modern Capital,RAIL,1353.96,1281.68,87.63,6.47
2022-01-18 18:18:17,Ultimate Partners,RAIL,1738.0,1556.14,223.79,12.88
2022-01-05 14:13:12,Pro Corporation,ROAD,2896.14,436.66,2197.7,75.88
2022-01-03 14:01:03,Elite Technologies,ROAD,3324.82,3376.13,108.64,3.27
2022-01-27 02:34:36,Brilliant Capital,SEA,10111.55,8696.95,696.62,6.89
2022-01-12 01:23:28,Alfa Trust,ROAD,1262.52,1359.64,58.0,4.59
2022-01-23 22:16:53,Brilliant Capital,SEA,9142.8,8992.39,482.94,5.28
2022-01-07 01:32:06,Sharp Services,ROAD,4330.5,4628.64,306.24,7.07
2022-01-18 15:17:52,Visionary Group,ROAD,745.85,740.5,32.15,4.31
2022-01-23 16:15:11,Modern Group,ROAD,1506.07,1166.66,280.73,18.64
2022-01-26 03:07:07,Brilliant Capital,SEA,4793.38,3671.79,1061.1,22.14
2022-01-20 17:44:11,Creative Trust,ROAD,1482.14,1408.69,55.9,3.77
2022-01-09 04:35:30,Infinite Capital,ROAD,1908.85,1554.7,109.31,5.73
2022-01-22 03:12:38,Infinite Capital,ROAD,1889.04,1717.74,110.21,5.83
2022-01-27 19:20:54,Pioneer Systems,ROAD,2889.18,2703.52,223.61,7.74
2022-01-21 22:09:36,Brilliant Capital,SEA,8785.27,8879.73,915.03,10.42
2022-01-24 21:49:14,United Associates,ROAD,1772.79,1546.72,117.68,6.64
2022-01-20 13:32:28,Brilliant Capital,SEA,10032.51,10657.82,666.95,6.65
2022-01-27 19:16:12,Brilliant Capital,SEA,9526.27,9414.36,43.67,0.46
2022-01-25 03:29:36,United Associates,ROAD,1830.69,1832.73,-58.66,-3.2
2022-01-25 04:01:24,Brilliant Capital,SEA,582.68,441.19,140.81,24.17
2022-01-03 13:59:26,Brilliant Capital,SEA,614.07,399.31,134.6,21.92
2022-01-27 05:16:21,Smart Resources,ROAD,1177.1,1224.67,51.11,4.34
2022-01-10 00:26:19,Innovative Strategy,ROAD,467.88,434.94,49.61,10.6
2022-01-23 08:16:00,Visionary Partners,SEA,7053.69,5705.16,353.98,5.02
2022-01-16 02:50:22,Dynamic Tech,ROAD,1931.19,1863.2,85.75,4.44
2022-01-13 13:41:31,Modern Capital,ROAD,501.16,413.93,126.29,25.2
2022-01-28 08:16:40,Noble Associates,SEA,2555.22,2415.68,39.41,1.54
2022-01-06 13:11:49,Dynamic Networks,ROAD,2891.64,2497.24,397.38,13.74
2022-01-20 10:17:07,Dynamic Networks,ROAD,3280.32,2602.11,415.96,12.68
2022-01-10 14:32:59,Dynamic Networks,ROAD,2637.38,2408.7,279.97,10.62
2022-01-16 15:09:23,Dynamic Networks,ROAD,3386.83,2888.28,348.09,10.28
2022-01-17 09:49:20,Dynamic Networks,ROAD,2770.15,2605.42,277.46,10.02
2022-01-19 16:00:25,Pioneer Systems,ROAD,2989.48,3226.42,108.2,3.62
2022-01-16 19:37:02,Epic Initiative,RAIL,1199.5,1082.43,61.65,5.14
2022-01-01 15:55:12,Epic Initiative,RAIL,1393.09,1172.24,103.44,7.43
2022-01-20 06:57:45,Core Holdings,ROAD,1763.66,1434.19,52.45,2.97
2022-01-06 22:13:30,Dynamic Networks,ROAD,3638.16,3604.39,326.21,8.97
2022-01-01 17:42:06,Next Zone,SEA,3394.05,3250.46,291.66,8.59
2022-01-26 19:33:38,Dynamic Networks,ROAD,4003.24,3364.61,290.85,7.27
2022-01-12 15:44:12,Advanced Systems,SEA,1635.13,1394.07,291.37,17.82
2022-01-20 08:49:47,Dynamic Networks,ROAD,3390.65,3452.19,333.85,9.85
2022-01-26 19:01:42,Dynamic Networks,ROAD,3536.78,3314.31,174.34,4.93
2022-01-06 17:00:54,Dynamic Networks,ROAD,3459.8,3669.31,110.86,3.2
2022-01-11 11:03:19,Dynamic Networks,ROAD,3349.31,3619.15,217.52,6.49
2022-01-03 05:25:57,Integrated Consulting,SEA,9132.09,8401.36,390.9,4.28
2022-01-25 22:55:20,United Associates,ROAD,1831.62,1823.74,55.34,3.02
2022-01-16 01:13:12,United Associates,ROAD,1885.21,1647.81,56.97,3.02
2022-01-01 20:33:58,Core Industries,ROAD,2996.58,2407.35,295.2,9.85
2022-01-15 01:19:53,United Associates,ROAD,1819.18,1711.44,58.04,3.19
2022-01-16 03:28:46,Brilliant Innovation,RAIL,1301.32,1283.8,213.84,16.43
2022-01-11 17:15:07,United Associates,ROAD,2390.12,2484.44,216.21,9.05
2022-01-16 12:36:50,Next Foundation,RAIL,1533.88,1294.63,112.5,7.33
2022-01-04 20:38:20,Sharp Management,ROAD,1594.24,1261.3,256.04,16.06
2022-01-16 19:58:25,Sharp Management,ROAD,1487.56,1338.2,68.86,4.63
2022-01-20 15:39:04,Ambitious Trust,ROAD,5266.82,5218.46,373.56,7.09
2022-01-04 03:08:52,Next Foundation,RAIL,1515.15,1529.97,85.48,5.64
2022-01-28 16:05:54,Advanced Systems,SEA,12834.78,12358.75,1438.21,11.21
2022-01-21 23:37:56,Ambitious Trust,ROAD,5276.85,4314.05,429.02,8.13
2022-01-01 15:06:30,Modern Capital,RAIL,1341.72,1296.62,149.87,11.17
2022-01-19 11:14:03,Premier Resources,ROAD,5698.39,5400.32,109.46,1.92
2022-01-08 02:47:24,Premier Resources,ROAD,4290.42,4095.72,345.17,8.05
2022-01-13 13:19:01,Premier Resources,ROAD,4189.3,4377.19,337.07,8.05
2022-01-08 00:47:39,Core Strategy,ROAD,2249.96,2173.71,170.01,7.56
2022-01-20 03:51:54,Core Strategy,ROAD,2748.01,2410.9,174.44,6.35
2022-01-25 03:09:14,Elite Resources,ROAD,2400.7,2149.35,238.68,9.94
2022-01-21 18:25:09,Core Strategy,ROAD,2649.71,2425.69,186.64,7.04
2022-01-03 22:46:42,Key Trust,RAIL,1967.83,1592.78,108.59,5.52
2022-01-11 15:22:23,Premier Resources,ROAD,5378.14,4461.42,106.75,1.98
2022-01-26 16:47:53,Sharp Trust,ROAD,2636.7,2467.18,228.75,8.68
2022-01-08 05:34:13,Ambitious Framework,RAIL,1552.7,1522.03,0.0,0.0
2022-01-17 01:57:40,Ultimate Networks,ROAD,3700.58,3655.91,57.05,1.54
2022-01-09 19:13:18,Ultimate Networks,ROAD,3847.18,3422.09,56.2,1.46
2022-01-24 06:10:54,Elite Technologies,ROAD,2575.97,2077.4,265.24,10.3
2022-01-04 16:51:41,United Services,RAIL,1236.76,1178.47,0.0,0.0
2022-01-08 21:09:50,Ambitious Connections,ROAD,1771.2,1369.05,201.83,11.4
2022-01-01 01:10:57,Premier Resources,ROAD,4713.65,4091.27,210.53,4.47
2022-01-07 11:21:24,Global Resources,RAIL,1944.35,1814.8,180.55,9.29
2022-01-14 11:50:53,Alfa Holdings,ROAD,1716.49,1543.76,184.69,10.76
2022-01-06 06:44:40,Eternal Corporation,ROAD,1830.4,414.08,1432.74,78.27
2022-01-08 22:44:41,Modern Group,RAIL,3200.36,2793.1,355.2,11.1
2022-01-04 10:33:31,Premier Resources,ROAD,5891.23,5181.51,222.29,3.77
2022-01-15 10:24:54,Alfa Holdings,ROAD,1600.2,1656.23,162.5,10.15
2022-01-14 00:19:24,Premier Resources,ROAD,4171.63,3964.9,117.91,2.83
2022-01-20 21:33:31,Premier Resources,ROAD,4255.92,4189.26,288.68,6.78
2022-01-13 19:04:42,Noble Associates,RAIL,2366.12,2053.93,122.69,5.19
2022-01-22 03:42:11,Creative Trust,ROAD,1546.8,1545.39,101.62,6.57
2022-01-19 01:17:26,Creative Trust,ROAD,1523.23,1388.09,102.27,6.71
2022-01-22 19:00:44,Creative Trust,ROAD,1529.63,1619.98,112.1,7.33
2022-01-20 14:07:01,Brilliant Enterprises,SEA,6593.48,4962.22,573.71,8.7
2022-01-11 19:03:17,Brilliant Enterprises,SEA,5531.84,5779.38,672.02,12.15
2022-01-27 13:50:21,Brilliant Enterprises,SEA,6556.6,5940.18,572.28,8.73
2022-01-04 02:01:12,Brilliant Enterprises,SEA,6511.88,5278.3,594.75,9.13
2022-01-15 23:22:56,Brilliant Enterprises,SEA,6730.46,5722.24,636.9,9.46
2022-01-11 19:18:51,Brilliant Enterprises,SEA,6555.11,6063.85,644.55,9.83
2022-01-01 17:20:00,Brilliant Enterprises,SEA,13614.38,13880.63,756.97,5.56
2022-01-17 09:08:51,Brilliant Enterprises,SEA,13254.62,14069.11,1085.01,8.19
2022-01-25 19:10:13,Brilliant Enterprises,SEA,7572.22,6672.18,580.75,7.67
2022-01-09 21:09:34,Sharp Global,ROAD,674.83,564.69,55.04,8.16
2022-01-07 18:29:24,Sharp Global,ROAD,672.81,623.77,55.13,8.19
2022-01-24 06:48:46,Solid Development,ROAD,1008.01,930.66,122.91,12.19
2022-01-21 01:46:37,Ambitious Connections,ROAD,1653.06,1310.74,237.3,14.36
2022-01-17 23:45:59,Ambitious Connections,ROAD,1567.77,1528.43,245.92,15.69
2022-01-09 22:09:49,Infinite Capital,ROAD,1618.26,1718.34,103.87,6.42
2022-01-06 07:53:19,Infinite Capital,ROAD,1739.83,1597.18,160.81,9.24
2022-01-02 01:04:57,Global Networks,RAIL,2240.97,1974.34,112.42,5.02
2022-01-20 06:34:57,Brilliant Innovation,RAIL,1439.15,1359.31,54.47,3.78
2022-01-11 06:33:10,Modern Capital,RAIL,1682.7,1477.55,122.72,7.29
2022-01-28 00:44:20,Modern Associates,AIR,1733.91,1353.26,158.26,9.13
2022-01-12 22:57:22,Eternal Corporation,ROAD,1015.89,877.45,84.99,8.37
2022-01-24 04:33:09,Bright Capital,ROAD,1519.31,1449.78,164.68,10.84
2022-01-20 02:41:18,Visionary Group,ROAD,744.71,726.75,34.86,4.68
